state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,3319832,3317870,3320406
new_case,All,All,All,1951,49566,49376,49780
new_case,All,All,All,1952,65859,65199,66393
new_case,All,All,All,1953,106730,105975,108363
new_case,All,All,All,1954,150476,149637,151374
new_case,All,All,All,1955,145984,144646,149883
new_case,All,All,All,1956,147214,145592,149395
new_case,All,All,All,1957,153134,151455,154156
new_case,All,All,All,1958,153702,151623,156311
new_case,All,All,All,1959,158670,158335,160658
new_case,All,All,All,1960,161501,160677,164633
new_case,All,All,All,1961,166241,164182,169338
new_case,All,All,All,1962,169698,168351,174534
new_case,All,All,All,1963,173002,170979,176600
new_case,All,All,All,1964,178884,178306,182001
new_case,All,All,All,1965,182031,179543,186225
new_case,All,All,All,1966,181639,180493,187149
new_case,All,All,All,1967,187160,183474,190941
new_case,All,All,All,1968,189993,187903,193620
new_case,All,All,All,1969,194967,192289,197360
new_case,All,All,All,1970,194166,192962,197482
new_case,All,All,All,1971,204383,203423,206613
new_case,All,All,All,1972,203653,199639,206495
new_case,All,All,All,1973,207146,199911,208384
new_case,All,All,All,1974,211323,206451,217158
new_case,All,All,All,1975,212369,211697,219396
new_case,All,All,All,1976,220498,215215,221257
new_case,All,All,All,1977,226029,219590,230728
new_case,All,All,All,1978,229980,223259,238454
new_case,All,All,All,1979,237173,227427,240039
new_case,All,All,All,1980,15162,15144,15601
new_case,All,All,All,1981,2502,2502,2502
new_case,All,All,All,1982,1064,1064,1064
new_case,All,All,All,1983,869,869,869
new_case,All,All,All,1984,1681,1681,1681
new_case,All,All,All,1985,2111,2111,2111
new_case,All,All,All,1986,269,269,269
new_case,All,All,All,1987,3130,3130,3130
new_case,All,All,All,1988,235,235,235
new_case,All,All,All,1989,580,580,580
new_case,All,All,All,1990,1414,1414,1414
new_case,All,All,All,1991,0,0,0
new_case,All,All,All,1992,0,0,0
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,1,1,1
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,3,3,3
new_case,All,All,All,1999,0,0,0
new_case,All,All,All,2000,992,992,992
new_case,All,All,All,2001,159,159,159
new_case,All,All,All,2002,0,0,0
new_case,All,All,All,2003,0,0,0
new_case,All,All,All,2004,0,0,0
new_case,All,All,All,2005,0,0,0
new_case,All,All,All,2006,0,0,0
new_case,All,All,All,2007,0,0,0
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,0,0,0
new_case,All,All,All,2012,0,0,0
