state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,1259585,992531,1480801
new_case,All,All,All,1951,853441,632541,1107289
new_case,All,All,All,1952,775,751,863
new_case,All,All,All,1953,831,823,838
new_case,All,All,All,1954,948,906,1011
new_case,All,All,All,1955,1041,954,1105
new_case,All,All,All,1956,1156,1102,1160
new_case,All,All,All,1957,1283,1236,1369
new_case,All,All,All,1958,1314,1222,1540
new_case,All,All,All,1959,1504,1495,1564
new_case,All,All,All,1960,1564,1537,1609
new_case,All,All,All,1961,1783,1771,2014
new_case,All,All,All,1962,2035,1915,2267
new_case,All,All,All,1963,2306,2139,2446
new_case,All,All,All,1964,2818,2800,2883
new_case,All,All,All,1965,2831,2662,4604
new_case,All,All,All,1966,3386,3259,3529
new_case,All,All,All,1967,3602,3298,4362
new_case,All,All,All,1968,4191,3514,4928
new_case,All,All,All,1969,5794,5182,6337
new_case,All,All,All,1970,6414,5804,9251
new_case,All,All,All,1971,9886,8981,12077
new_case,All,All,All,1972,13080,11400,17544
new_case,All,All,All,1973,16494,15284,21068
new_case,All,All,All,1974,21268,20503,25510
new_case,All,All,All,1975,32646,24941,35959
new_case,All,All,All,1976,41900,31319,48172
new_case,All,All,All,1977,47027,40521,48832
new_case,All,All,All,1978,53824,40204,75633
new_case,All,All,All,1979,51642,30981,95601
new_case,All,All,All,1980,46197,25196,67518
new_case,All,All,All,1981,32193,26929,38482
new_case,All,All,All,1982,28776,21773,30627
new_case,All,All,All,1983,25749,23395,37594
new_case,All,All,All,1984,25475,16226,42221
new_case,All,All,All,1985,33690,13390,36750
new_case,All,All,All,1986,35756,11307,41799
new_case,All,All,All,1987,49205,11641,51936
new_case,All,All,All,1988,42289,14571,80740
new_case,All,All,All,1989,34469,16621,90371
new_case,All,All,All,1990,31303,22263,57548
new_case,All,All,All,1991,33812,31171,43582
new_case,All,All,All,1992,54234,31160,56761
new_case,All,All,All,1993,44223,26127,77575
new_case,All,All,All,1994,23150,22357,79548
new_case,All,All,All,1995,24454,22276,79219
new_case,All,All,All,1996,40955,18190,111712
new_case,All,All,All,1997,70764,10212,105002
new_case,All,All,All,1998,71479,7137,91800
new_case,All,All,All,1999,47469,4966,105344
new_case,All,All,All,2000,19348,3949,128605
new_case,All,All,All,2001,11778,3733,100094
new_case,All,All,All,2002,7246,3151,58195
new_case,All,All,All,2003,3681,3070,28582
new_case,All,All,All,2004,4873,1883,14801
new_case,All,All,All,2005,9157,1757,30901
new_case,All,All,All,2006,4941,1421,69853
new_case,All,All,All,2007,2989,1473,72771
new_case,All,All,All,2008,1413,976,72813
new_case,All,All,All,2009,1020,257,59205
new_case,All,All,All,2010,1596,224,42276
new_case,All,All,All,2011,1916,0,24991
new_case,All,All,All,2012,3247,0,17919
new_case,All,All,All,2013,3002,0,11006
new_case,All,All,All,2014,2050,0,5848
new_case,All,All,All,2015,974,0,1481
new_case,All,All,All,2016,0,0,1659
new_case,All,All,All,2017,0,0,150
new_case,All,All,All,2018,0,0,0
new_case,All,All,All,2019,0,0,0
new_case,All,All,All,2020,0,0,0
new_case,All,All,All,2021,0,0,0
new_case,All,All,All,2022,0,0,0
new_case,All,All,All,2023,7348,6091,8391
S,1,1,1,2023,11061.5,7105,17256
S,2,1,1,2023,27725,21111,35111
S,3,1,1,2023,46822.5,38983,55060
S,4,1,1,2023,64616,57051,71278
S,5,1,1,2023,75981,71291,79333
S,6,1,1,2023,80251,78766,80967
S,7,1,1,2023,79586.5,76410,81578
S,8,1,1,2023,76214.5,71983,79834
S,9,1,1,2023,73405,69763,77157
S,10,1,1,2023,73181.5,70719,76148
S,11,1,1,2023,75764.5,73637,77323
S,12,1,1,2023,80472,78954,81890
S,13,1,1,2023,86772.5,84650,89391
S,14,1,1,2023,93914,90896,96821
S,15,1,1,2023,102014,97517,105422
S,16,1,1,2023,110502.5,106287,113862
S,17,1,1,2023,119223,114588,123092
S,18,1,1,2023,128672,123984,132784
S,19,1,1,2023,138581.5,133004,143297
S,20,1,1,2023,147615,142576,152607
S,21,1,1,2023,155272.5,150394,159715
S,22,1,1,2023,161770.5,158481,166411
S,23,1,1,2023,167079,163860,171477
S,24,1,1,2023,171290.5,167954,174666
S,25,1,1,2023,173066,171115,176070
S,26,1,1,2023,173480.5,172391,176994
S,27,1,1,2023,173302.5,170730,176059
S,28,1,1,2023,171081.5,168710,173890
S,29,1,1,2023,167954.5,164761,170917
S,30,1,1,2023,163954.5,158783,167165
S,31,1,1,2023,159093.5,154851,162839
S,32,1,1,2023,154484.5,150547,158789
S,33,1,1,2023,149718,145851,153284
S,34,1,1,2023,144200.5,139751,148561
S,35,1,1,2023,138488,134732,142290
S,36,1,1,2023,133561,129315,136648
S,37,1,1,2023,128355.5,124450,131529
S,38,1,1,2023,123547.5,119663,126870
S,39,1,1,2023,119052,115097,122547
S,40,1,1,2023,114240,110315,118174
S,41,1,1,2023,109547,105788,112806
S,42,1,1,2023,104890.5,101606,108009
S,43,1,1,2023,100613,97513,103396
S,44,1,1,2023,95890.5,93128,98934
S,45,1,1,2023,91484.5,88835,94317
S,46,1,1,2023,87027.5,84892,89107
S,47,1,1,2023,82685,80192,85050
S,48,1,1,2023,79111,76290,81126
S,49,1,1,2023,75486.5,73049,77820
S,50,1,1,2023,72025,69621,74127
S,51,1,1,2023,68330,65880,70209
S,52,1,1,2023,64732,62933,67051
S,53,1,1,2023,61484,59828,63690
S,54,1,1,2023,58537,56890,59968
S,55,1,1,2023,55352,53799,57154
S,56,1,1,2023,52807.5,50958,54336
S,57,1,1,2023,50088.5,48296,51768
S,58,1,1,2023,47380,45757,48739
S,59,1,1,2023,44481.5,42990,46107
S,60,1,1,2023,41831,40203,43154
S,61,1,1,2023,39521.5,38515,40705
S,62,1,1,2023,37255.5,35873,38666
S,63,1,1,2023,34568.5,33361,36048
S,64,1,1,2023,32157.5,30976,33642
S,65,1,1,2023,29817.5,28369,31160
S,66,1,1,2023,27529.5,26255,28730
S,67,1,1,2023,25024.5,24057,26090
