state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,2297987,2295632,2299074
new_case,All,All,All,1951,160394,158463,162077
new_case,All,All,All,1952,338198,337121,344443
new_case,All,All,All,1953,302811,295939,304287
new_case,All,All,All,1954,320175,318991,322001
new_case,All,All,All,1955,325465,322794,327243
new_case,All,All,All,1956,333770,330964,335408
new_case,All,All,All,1957,347856,345472,353169
new_case,All,All,All,1958,349494,344423,351372
new_case,All,All,All,1959,360027,356706,360609
new_case,All,All,All,1960,367905,367408,370097
new_case,All,All,All,1961,381216,374652,383118
new_case,All,All,All,1962,388327,382617,396390
new_case,All,All,All,1963,401247,398574,403873
new_case,All,All,All,1964,418435,411274,421506
new_case,All,All,All,1965,423524,422050,428377
new_case,All,All,All,1966,434339,431668,436763
new_case,All,All,All,1967,443441,440921,445365
new_case,All,All,All,1968,459177,452731,462292
new_case,All,All,All,1969,468874,462019,471523
new_case,All,All,All,1970,484135,475462,485692
new_case,All,All,All,1971,502252,501512,505134
new_case,All,All,All,1972,507780,504839,514557
new_case,All,All,All,1973,520809,514508,525268
new_case,All,All,All,1974,540387,529017,543941
new_case,All,All,All,1975,547910,545762,553737
new_case,All,All,All,1976,561309,555451,567671
new_case,All,All,All,1977,580285,575803,587183
new_case,All,All,All,1978,930375,920712,933556
new_case,All,All,All,1979,1073852,1068938,1077714
new_case,All,All,All,1980,868933,864805,870435
new_case,All,All,All,1981,596538,592415,604066
new_case,All,All,All,1982,666507,659184,680049
new_case,All,All,All,1983,57306,56756,58768
new_case,All,All,All,1984,439,439,439
new_case,All,All,All,1985,62,62,62
new_case,All,All,All,1986,39,39,39
new_case,All,All,All,1987,197,197,197
new_case,All,All,All,1988,348,348,348
new_case,All,All,All,1989,906,906,906
new_case,All,All,All,1990,0,0,0
new_case,All,All,All,1991,0,0,0
new_case,All,All,All,1992,0,0,0
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,792,792,792
new_case,All,All,All,1999,24,24,24
new_case,All,All,All,2000,0,0,0
new_case,All,All,All,2001,0,0,0
new_case,All,All,All,2002,0,0,0
new_case,All,All,All,2003,0,0,0
new_case,All,All,All,2004,0,0,0
new_case,All,All,All,2005,0,0,0
new_case,All,All,All,2006,0,0,0
new_case,All,All,All,2007,1347,1347,1347
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,823,823,823
new_case,All,All,All,2010,665,665,665
new_case,All,All,All,2011,3028,3028,3028
new_case,All,All,All,2012,3784,3784,3784
new_case,All,All,All,2013,1001,1001,1001
new_case,All,All,All,2014,0,0,0
new_case,All,All,All,2015,0,0,0
new_case,All,All,All,2016,0,0,0
new_case,All,All,All,2017,0,0,0
new_case,All,All,All,2018,114,114,114
new_case,All,All,All,2019,0,0,0
new_case,All,All,All,2020,0,0,0
new_case,All,All,All,2021,0,0,0
new_case,All,All,All,2022,0,0,0
new_case,All,All,All,2023,0,0,0
S,1,1,1,2023,59904.5,39694,90334
S,2,1,1,2023,127379.5,102601,151882
S,3,1,1,2023,173791,157953,183996
S,4,1,1,2023,203727.5,196695,206885
S,5,1,1,2023,231195.5,226853,234569
S,6,1,1,2023,261526.5,256197,266863
S,7,1,1,2023,290318.5,285646,295459
S,8,1,1,2023,313512,308243,316227
S,9,1,1,2023,327988,324717,329933
S,10,1,1,2023,335069.5,327896,340450
S,11,1,1,2023,336653.5,328028,344519
S,12,1,1,2023,335964.5,327136,345079
S,13,1,1,2023,335101.5,326315,343574
S,14,1,1,2023,334790.5,326563,343056
S,15,1,1,2023,334611.5,328543,342122
S,16,1,1,2023,335949.5,330477,341744
S,17,1,1,2023,335773,330492,340562
S,18,1,1,2023,336095.5,329705,340634
S,19,1,1,2023,334570,328396,339742
S,20,1,1,2023,331788,326251,336900
S,21,1,1,2023,327617,321254,333046
S,22,1,1,2023,321815.5,315239,328937
S,23,1,1,2023,315261.5,308032,321849
S,24,1,1,2023,307318.5,300686,314077
S,25,1,1,2023,299046.5,292548,306389
S,26,1,1,2023,290198,283096,296792
S,27,1,1,2023,280308.5,273295,286993
S,28,1,1,2023,270182,263908,277001
S,29,1,1,2023,259620,253482,265704
S,30,1,1,2023,249302.5,243410,255339
S,31,1,1,2023,238752,232892,244701
S,32,1,1,2023,227939.5,221908,234209
S,33,1,1,2023,218384,212129,224083
S,34,1,1,2023,208697,202775,214618
S,35,1,1,2023,199814,194329,204849
S,36,1,1,2023,191614,186328,196324
S,37,1,1,2023,184509.5,179767,189043
S,38,1,1,2023,177817.5,174046,181841
S,39,1,1,2023,171932,168534,175670
S,40,1,1,2023,166846.5,163557,170308
S,41,1,1,2023,161558.5,158152,164895
S,42,1,1,2023,156595.5,153726,159866
S,43,1,1,2023,152117,148702,155218
S,44,1,1,2023,147547.5,143756,151203
S,45,1,1,2023,142466,139916,146271
S,46,1,1,2023,137749.5,134882,141491
S,47,1,1,2023,133171,130605,136507
S,48,1,1,2023,128726,126074,132124
S,49,1,1,2023,123674.5,120484,128062
S,50,1,1,2023,118730.5,115594,122679
S,51,1,1,2023,113957.5,110431,117606
S,52,1,1,2023,108627.5,104849,111788
S,53,1,1,2023,103396.5,99742,107063
S,54,1,1,2023,98488,95547,101971
S,55,1,1,2023,93372,90315,96449
S,56,1,1,2023,88804,86194,92184
S,57,1,1,2023,84188.5,81569,87271
S,58,1,1,2023,79809,77673,82641
S,59,1,1,2023,75663.5,73078,77875
S,60,1,1,2023,71414,68715,73535
S,61,1,1,2023,67496,65015,69676
S,62,1,1,2023,63729,61008,66128
S,63,1,1,2023,60159.5,57470,62272
S,64,1,1,2023,56419,54347,58657
S,65,1,1,2023,52768,50703,54825
S,66,1,1,2023,49327,47510,51152
S,67,1,1,2023,46172,44438,47897
S,68,1,1,2023,43167,41119,44670
S,69,1,1,2023,40035.5,38490,41835
S,70,1,1,2023,37327.5,35589,38909
S,71,1,1,2023,34437,32923,35918
S,72,1,1,2023,31630.5,30149,32948
S,73,1,1,2023,28919,27413,30230
S,74,1,1,2023,25973.5,24600,27414
S,75,1,1,2023,23427,21911,24810
S,76,1,1,2023,20900,19264,22366
S,77,1,1,2023,18530,17071,19864
S,78,1,1,2023,16397.5,15372,17563
S,79,1,1,2023,14457,13349,15483
S,80,1,1,2023,12549.5,11592,13548
S,81,1,1,2023,10803,9855,11671
S,82,1,1,2023,9225.5,8398,10081
S,83,1,1,2023,7778.5,6972,8682
S,84,1,1,2023,6488.5,5733,7396
S,85,1,1,2023,5314.5,4657,6125
S,86,1,1,2023,4291.5,3695,5033
S,87,1,1,2023,3423.5,2959,4055
S,88,1,1,2023,2676,2275,3131
S,89,1,1,2023,2091,1799,2433
S,90,1,1,2023,1589,1363,1837
S,91,1,1,2023,1203,994,1405
S,92,1,1,2023,866.5,730,1068
S,93,1,1,2023,636.5,521,749
